type_anomalie,id,objet,montant,codecpv,procedure,acheteur_id,acheteur_nom,titulaire_siret,date,offres_recues
Fournisseur unique,24266,FOURNITURE ET LIVRAISON DES EQUIPEMENTS DES METIERS DE MAINTENANCE AUTO MOTO ET TRAVAIL DU BOIS DE LA CMAR PACA: Lot 6: Station de rivetage - CFAR Cam,7988.0,39162100-6,Appel d'offres ouvert,13002087800240,,38493364400278,2023-12-13,1.0
Fournisseur unique,20240307,RÉNOVATION D'UNE GRANGE POUR LUDOTHÈQUE ET SALLE ASSOCIATIVE: Lot 7: Plomberie - Sanitaire,7400.0,45330000-9,Procédure adaptée,21370266500018,,91918786400013,2023-12-18,1.0
Fournisseur unique,249929622,Souscription des contrats d'assurance de la Commune de Bages: Lot 2: Assurance des responsabilités et des risques annexes,7254.0,66516000-0,Appel d'offres ouvert,21660011400013,,83381722400029,2023-12-15,1.0
Fournisseur unique,249966992,Fourniture de denrées alimentaires pour la restauration scolaire de la ville de MANDUEL: Lot 2: Epicerie spécifique BIO,6840.0,15800000-6,Appel d'offres ouvert,21300155500019,,44236533400048,2023-11-29,1.0
Fournisseur unique,249991067,Entretien vignes CA89: Lot 7 : Vendanges - pressurage,6562.0,77100000-1,Procédure adaptée,13002171000012,,87995456800017,2023-12-21,1.0
Sans concurrence,20233101,Prestations de services en assurances pour le SDEEG 33 (4 lots): Lot 1 : Dommages aux biens,6524.0,66515000-3,Marché passé sans publicité ni mise en concurrence préalable,25330347300057,,30130960500410,2023-12-18,1.0
Sans concurrence,202321300,Maintenance du progiciel de gestion des DECI et ETARE du SDIS 74,6055.0,72267100-0,Marché passé sans publicité ni mise en concurrence préalable,28741020300015,,33441633600173,2023-12-27,
Sans concurrence,243193,"Fourniture de DM de cicatrisation, contention et immobilisation au profit des adhérents du GCS GRAPS Grand Est - Marchés Négociés - lot 27",5952.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,77570245900048,2023-11-29,1.0
Sans concurrence,243221,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 599 et 600,5835.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,82332606100046,2023-12-20,1.0
Fournisseur unique,2373900,Hp 1664/403 et#8211; saint etienne au mont - travaux de maintenance de 27 logements individuels : Lot 4 : Peintures,5646.0,45442100-8,Procédure adaptée,61682020500154,,75367396100029,2023-12-20,1.0
Fournisseur unique,249953636,Fourniture de végétaux et de produits horticoles: Lot 6: Fourniture de chrysanthèmes,5000.0,03117000-4,Appel d'offres ouvert,21440026900012,,41208378400014,2023-12-26,1.0
Fournisseur unique,24267,FOURNITURE ET LIVRAISON DES EQUIPEMENTS DES METIERS DE MAINTENANCE AUTO MOTO ET TRAVAIL DU BOIS DE LA CMAR PACA: Lot 7: Outil de débosselage - CFAR Ca,4990.0,39162100-6,Appel d'offres ouvert,13002087800240,,38493364400278,2023-12-13,1.0
Fournisseur unique,249892673,Marché de prestations de services d'assurances: Lot 3: Responsabilité générale et responsabilité civile maître d'ouvrage,4618.0,66516400-4,Appel d'offres ouvert,39028994000012,,77568476400019,2023-12-19,1.0
Fournisseur unique,249954985,Services d'assurances pour la Commune de L'Union: Lot 5: Assurance de la protection fonctionnelle des agents et des élus,4224.0,66513000-9,Appel d'offres ouvert,21310561200013,,30130960500410,2023-12-27,1.0
Sans concurrence,202398547800,POSE DE GRILLES DE SECURITEAIRE D'ACCUEIL DES GENS DU VOYAGEDJANGO REINHARDT A LIMOGES,4178.0,44316500-3,Marché passé sans publicité ni mise en concurrence préalable,24871931200162,,75850129000038,2023-12-13,
Fournisseur unique,249888565,TRAVAUX DE REHABILITATION ENERGETIQUE ET FONCTIONNELLE DE L'HOTEL DE VILLE DE LA COMMUNE DE THOIRY ET SES ANNEXES: Lot 5: Etanchéité,3985.0,45261420-4,Procédure adaptée,21010419600014,,75203574100038,2023-11-27,1.0
Fournisseur unique,249991056,"Entretien vignes CA89: Lot 6 : Réalisation des opérations manuelles d'entretien de la vigne ""Zone VV""",3828.0,77100000-1,Procédure adaptée,13002171000012,,92085350400016,2023-12-21,1.0
Sans concurrence,2024319400,"Fourniture de DM de cicatrisation, contention et immobilisation au profit des adhérents du GCS GRAPS Grand Est - Marchés Négociés - lot 99",3754.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,81961453800018,2023-12-06,
Sans concurrence,243194,"Fourniture de DM de cicatrisation, contention et immobilisation au profit des adhérents du GCS GRAPS Grand Est - Marchés Négociés - lot 99",3754.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,81961453800018,2023-11-29,1.0
Fournisseur unique,249991023,"Entretien vignes CA89: Lot 3 : Réalisation des opérations manuelles d'entretien de la vigne ""Zone 2015 BD""",3109.0,77100000-1,Procédure adaptée,13002171000012,,91914568000014,2023-12-21,1.0
Fournisseur unique,249948392,Assurances construction pour realisation du cis loiron-ruille: Lot 2 : Assurance Tous Risques Chantier (TRC),2966.0,66513200-1,Procédure adaptée,28530001800030,,77568476400878,2023-12-30,1.0
Fournisseur unique,249991078,"Entretien vignes CA89: Lot 8 : Réalisation des opérations mécaniques en itinéraire conventionnel : protection phytosanitaire, rognages",2537.0,77100000-1,Procédure adaptée,13002171000012,,87995456800017,2023-12-21,1.0
Fournisseur unique,24265,FOURNITURE ET LIVRAISON DES EQUIPEMENTS DES METIERS DE MAINTENANCE AUTO MOTO ET TRAVAIL DU BOIS DE LA CMAR PACA: Lot 5: Outillage électroportatif - CF,2379.0,39162100-6,Appel d'offres ouvert,13002087800240,,38493364400278,2023-12-13,1.0
Fournisseur unique,249991045,"Entretien vignes CA89: Lot 5 : Réalisation des opérations d'entretien de la vigne ""Zone AL""",2376.0,77100000-1,Procédure adaptée,13002171000012,,92085350400016,2023-12-21,1.0
Fournisseur unique,2023008D00,Prestation de service d'assurance: Lot 4: Protection juridique Agents/Élus,2336.0,66513100-0,Appel d'offres ouvert,21430137600015,,77983836600028,2023-12-22,1.0
Sans concurrence,202398112900,"Fournitures de matériels électro-portatifs, d'outillage pour les besoins du musée du louvre-lens : Accord cadre",2179.0,44511000-5,Marché passé sans publicité ni mise en concurrence préalable,20002766200028,,34293810700030,2023-12-04,
Fournisseur unique,249991034,"Entretien vignes CA89: Lot 4 : Réalisation des opérations manuelles d'entretien de la vigne ""Zone 2015 HD""",2049.0,77100000-1,Procédure adaptée,13002171000012,,91914568000014,2023-12-21,1.0
Fournisseur unique,24262,FOURNITURE ET LIVRAISON DES EQUIPEMENTS DES METIERS DE MAINTENANCE AUTO MOTO ET TRAVAIL DU BOIS DE LA CMAR PACA: Lot 2: Matériels Travail du Bois - CF,1613.0,39162100-6,Appel d'offres ouvert,13002087800240,,38493364400278,2023-12-13,1.0
Fournisseur unique,2499477714,PATRIMOINE DE L'AVESNOISE - Travaux d'Entretien Courant Agences: Lot 14: Secteur CAUDRY - Chaudronnerie Serrurerie,1600.0,44316500-3,Appel d'offres ouvert,44632028500013,,89953659300010,2023-12-04,1.0
Fournisseur unique,2499479026,PATRIMOINE DE L'AVESNOISE - Travaux d'Entretien Courant Agences: Lot 26: Secteur CAUDRY - Assainissement,1600.0,45232410-9,Appel d'offres ouvert,44632028500013,,38816102800013,2023-12-04,1.0
Fournisseur unique,249895323,Passation d'un marché d'assurance pour les besoins de la commune (CCAS inclus): Lot 03: Protection fonctionnelle,1500.0,66513100-0,Appel d'offres ouvert,21840138800010,,42206023600086,2023-12-28,1.0
Fournisseur unique,249962454,Souscription d'un contrat d'assurance pour les besoins du SYDOM du Jura: Lot 4: ASSURANCE PROTECTION JURIDIQUE ET PROTECTION FONCTIONNELLE,1455.0,66510000-8,Appel d'offres ouvert,25390183900022,,83381722400029,2023-12-29,1.0
Fournisseur unique,2499911011,Entretien vignes CA89: Lot 11 : Réalisation des opérations mécaniques en itinéraire conventionnel : broyage des sarments,1330.0,77100000-1,Procédure adaptée,13002171000012,,87995456800017,2023-12-21,1.0
Fournisseur unique,249991089,Entretien vignes CA89: Lot 9 : Réalisation des opérations mécaniques en itinéraire conventionnel : désherbage mécanique,1251.0,77100000-1,Procédure adaptée,13002171000012,,87995456800017,2023-12-21,1.0
Fournisseur unique,2499910910,Entretien vignes CA89: Lot 10 : Réalisation des opérations mécaniques en itinéraire conventionnel : application d'engrais,1202.0,77100000-1,Procédure adaptée,13002171000012,,87995456800017,2023-12-21,1.0
