id,objet,montant,codecpv,categorie_cpv,procedure,datenotification,acheteur_id,acheteur_nom,titulaire_siret,offres_recues,lieu,formeprix
2023-0600,Construction d'un restaurant scolaire - Lot 4 Menuiseries extérieures,98573.02,44221000-5,Matériaux de construction,Procédure adaptée,2023-12-07,21830135600018,,88112318600028,,TAVERNES,Ferme et actualisable
2023ACENAEPL0500,Marche de Fourniture de produits d epicerie pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 5 Produits secs,439604.32,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,47698032100295,,Mourenx,Révisable
202323125600,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 82: Viandes / poissons cuisinés en sauce, lisses, salés (multi portions)",331632.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34339778200016,,GHT Coeur Grand Est,Révisable
202323126400,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 91: Pommes de terre (EGALIM),195771.0,15310000-4,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499201715,,GHT Coeur Grand Est,Révisable
202323126200,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 58: Biscuiterie et fruits secs,729554.0,15820000-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34143410800062,,GHT Coeur Grand Est,Révisable
20232023T400300,FILTRES POUR VÉHICULES DE PLUS DE 3.5 TONNES ET MATÉRIELS,100000.0,34300000-0,Transport & véhicules,Appel d'offres ouvert,2023-12-07,20006340200016,,37823354800031,,ANNECY,Révisable
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 19: Jambons,218755.0,15131120-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
20232300251500,Réaménagement et extension du restaurant scolaire de l'école HENRI LESAGE: Lot 15 : Matériel de cuisine,105000.0,39221000-7,Mobilier & ménager,Procédure adaptée,2023-12-07,21440215800015,,49872106700060,,VERTOU,Révisable
202324C00,Lot 3  Produits ouatés et assimilés,360000.0,39830000-9,Mobilier & ménager,Appel d'offres ouvert,2023-12-07,21780586000012,,71200993500040,,SARTROUVILLE,Révisable
2023302640BA00,"TRAVAUX DE REMPLACEMENT, D'AMELIORATION ET DE MAINTENANCE PREVENTIVE ET CORRECTIVE DES INSTALLATIONS DE SECURITE INCENDIE DES BATIMENTS DU DEPARTEMENT DE VAUCLUSE Y COMPRIS LES BATIMENTS PUBLICS LOCAUX D'ENSEIGNEMENT (EPLE).",2200000.0,31625200-5,Matériel électrique,Appel d'offres ouvert,2023-12-07,22840001600017,,39061151500029,,Département de Vaucluse,Révisable
202323125700,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 83: Viandes / poissons au bouillon, lisses, salés et/ou pauvre en sel (individuel)",23600.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,31469638600064,,GHT Coeur Grand Est,Révisable
202323125600,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 05: Boeuf veau agneau - Viandes cuites,429060.0,15119000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34339778200016,,GHT Coeur Grand Est,Révisable
20232023-1300000,Location 4 véhicules électriques neufs,56415.82,34144900-7,Transport & véhicules,Procédure adaptée,2023-12-07,20007004300019,,41336018100049,,MONTMORILLON,Ferme
202323RES13100,DETECTION ET GÉORÉFÉRENCEMENT EP - ZONE NORD - MILIEU RURAL ET URBAIN,70192.2,34993000-4,Transport & véhicules,Procédure adaptée,2023-12-07,25420054600052,,82322303700024,,LOIRE,Ferme
202323126300,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 11: Saucisses,134584.0,15131120-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,31680701501340,,GHT Coeur Grand Est,Révisable
202323126100,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 44: Légumes 4ème + 5ème gammes, purées de légumes en galet, épices surgelés",1333047.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
202323126500,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 01: Boeuf veau agneau - Viandes fraîches,983286.0,15119000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,54695037900224,,GHT Coeur Grand Est,Révisable
202323126400,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 37: Légumes 4ème + 5ème gammes (frais),453374.0,15331100-8,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499201715,,GHT Coeur Grand Est,Révisable
202323126400,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 36: Fruits et légumes frais - Zone de livraison 55,289797.0,15300000-1,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499201715,,GHT Coeur Grand Est,Révisable
202323125500,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 65: Fumet, fonds, jus hyposodés et bouillons, fonds, fumets",133289.0,15893300-7,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,47698032100378,,GHT Coeur Grand Est,Révisable
202323125900,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 85: Plats complets lisses, salés - 180/200g",106704.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,42370097000068,,GHT Coeur Grand Est,Révisable
202323124900,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 34: Crèmes (aux oeufs, brûlée, renversée, dessert)",551966.0,15551000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,51587054100031,,GHT Coeur Grand Est,Révisable
202320232800100,LOT 1 : PETITS CAMION DOUBLE CABINE A BENNE BASCULANTE,115414.98,34134200-7,Transport & véhicules,Appel d'offres ouvert,2023-12-07,21974004000015,,47967345100023,,ETANG-SALE,Ferme
2024240060100,SMA-DMRN FOUR MAT. DE TELEPHONIE ET RESEAU INFORMATIQUE,230000.0,32250000-0,Télécommunications,Appel d'offres ouvert,2023-12-07,21350288300019,,38927686600081,,SAINT MALO,Ferme
202323126400,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 88: Choucroute (EGALIM),16072.0,15131120-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499201715,,GHT Coeur Grand Est,Révisable
202323125400,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 90: Laitages, desserts lactés (EGALIM)",220180.0,15551000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,45273277900015,,GHT Coeur Grand Est,Révisable
202323126300,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 41: Pâtisseries, boulangerie, fruits (surgelé)",411595.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,31680701501340,,GHT Coeur Grand Est,Révisable
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 49: Lapin surgelé,5041.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
20232024F0000300,Acquisition de papier pour les besoins des services du Département d’Ille-et-Vilaine -  Marché subséquent 3,13984.0,30197630-1,Informatique & bureautique,Appel d'offres ouvert,2023-12-07,22350001800013,,33044098300055,,(35) Ille-et-Vilaine,Ferme
2024240060100,SMA-DMRN FOUR MAT. DE TELEPHONIE ET RESEAU INFORMATIQUE,230000.0,32250000-0,Télécommunications,Appel d'offres ouvert,2023-12-07,21350288300019,,45050268700020,,SAINT MALO,Ferme
202320232800500,LOT 5 : FOURGON L3 H3 AVEC HAYON,44589.36,34136200-1,Transport & véhicules,Appel d'offres ouvert,2023-12-07,21974004000015,,47967345100023,,ETANG-SALE,Ferme
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 43: Tartes prédécoupées surgelées,130681.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
202323126300,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 52: Viande kebab surgelée,5751.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,31680701501340,,GHT Coeur Grand Est,Révisable
2023O5140A00,"Mise à disposition, mise en place, enlèvement et lavage d?équipements permettant de réaliser un tri des déchets sur certains marchés forains",9000000.0,44613700-7,Matériaux de construction,Appel d'offres ouvert,2023-12-07,21690123100011,,30222140300058,,A Lyon,Révisable
2023ACENASUL0700,Marche de Fourniture de produits surgeles pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 7 Vegetal,345017.21,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,38500623400012,,Mourenx,Révisable
202323125800,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 13: Cervelas,13724.0,15131120-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,58288022500013,,GHT Coeur Grand Est,Révisable
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 40: Glaces - barres glacées,90354.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 20: Jambons pauvres en sel,36567.0,15131120-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
202323125600,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 78: Haché fin de viande ou de poisson, sans sel ou pauvre en sel",305760.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34339778200016,,GHT Coeur Grand Est,Révisable
2023202300042900,"Travaux de pose de revêtements de sols dans les logements du patrimoine d'orvitis : Lot 1 : agence urbaine et agence Est Côte det#8217,Or",1110000.0,44112200-0,Matériaux de construction,Procédure adaptée,2023-12-07,88333378300016,,32699220300058,,Dijon,Révisable
2023-LOT1200,PEINTURE,245396.42,44810000-1,Matériaux de construction,Procédure adaptée,2023-12-07,26540073900099,,47912511400013,,CCAS,Révisable
2023ACENAEPL0700,Marche de Fourniture de produits d epicerie pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 7 Jetable Alimentaire,372430.76,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,47698032100295,,Mourenx,Révisable
202323AP194100,LOT01 VRD-AMENAGEMT EXT - TRX AMNGT LOCAUX FORUM DES PERTUIS,66399.8,44115800-7,Matériaux de construction,Procédure adaptée,2023-12-07,24170043400020,,32933888301938,,LA ROCHELLE,Ferme
202323124700,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 25: Pizzas, tartes prédécoupées",42673.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,33934164600067,,GHT Coeur Grand Est,Révisable
202323126100,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 47: Poissons, fruits de mer, ... surgelés",264373.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
241007587,Surveillance et maintenance de réseaux gpl2024-2027,130000.0,32424000-1,Télécommunications,Procédure adaptée,2023-12-07,27870850800041,,33487372602318,1.0,,Forfaitaire
202323125500,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 94: Divers épicerie / conserves (EGALIM),78605.0,15800000-6,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,47698032100378,,GHT Coeur Grand Est,Révisable
202323126300,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 71: Poissons (conserves),99409.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,31680701501340,,GHT Coeur Grand Est,Révisable
202323125900,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 79: Légumes et féculents lisses, salés (multi portions)",33900.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,42370097000068,,GHT Coeur Grand Est,Révisable
2023202310L0400,fournitures de bioseaux,70000.0,39234000-1,Mobilier & ménager,Appel d'offres ouvert,2023-12-07,20004272900018,,42042950800054,,manche,Révisable
2023ACENAEPL0300,Marche de Fourniture de produits d epicerie pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 3 Desserts,323617.06,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,38500623400012,,Mourenx,Révisable
202323125500,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 55: Articles à garnir,4058.0,15820000-2,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,47698032100378,,GHT Coeur Grand Est,Révisable
202323126200,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 72: Fruits au naturel, au sirop (conserves)",373455.0,15332400-8,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34143410800062,,GHT Coeur Grand Est,Révisable
2023420200,FOURNITURE DE VEHICULES,50928.0,34100000-8,Transport & véhicules,Procédure adaptée,2023-12-07,21310557000013,,30057104900018,,TOURNEFEUILLE,Ferme
2023ACENASUL0600,Marche de Fourniture de produits surgeles pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 6 Glaces,141703.9,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,55204499202382,,Mourenx,Révisable
2023ACENASUL0500,Marche de Fourniture de produits surgeles pour le groupement de commande de denrees alimentaires des EPLE et structures publiques de la zone Pyrenees Atlantiques / Sud des Landes 2024 - Lot 5 Desserts,552840.3,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-07,21640410300014,,55204499202382,,Mourenx,Révisable
20232023T400200,FILTRES POUR VÉHICULES DE MOINS DE 3.5 TONNES,100000.0,34300000-0,Transport & véhicules,Appel d'offres ouvert,2023-12-07,20006340200016,,37823354800031,,ANNECY,Révisable
202323125600,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 86: Plats complets lisses, salés - 180/200g",70110.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34339778200016,,GHT Coeur Grand Est,Révisable
202323124900,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 39: Pain perdu (surgelé),24264.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,51587054100031,,GHT Coeur Grand Est,Révisable
202323126100,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 45: Pommes de terre surgelées,196461.0,15896000-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,55204499202564,,GHT Coeur Grand Est,Révisable
202323AP202100,LOT09 CHAPE REVT SOLS FAIENCE-TX AMGT FORUM DES PERTUIS,49000.0,44112210-3,Matériaux de construction,Procédure adaptée,2023-12-07,24170043400020,,79254276300026,,LA ROCHELLE,Ferme
202323124800,"Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 27: Salades composées, crudités assaisonnées",127356.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,51983796700016,,GHT Coeur Grand Est,Révisable
202323126200,Fourniture de denrées alimentaires pour le compte du groupement de commandes coordonné par le CH VERDUN SAINT-MIHIEL: Lot 73: Produits élaborés (conserves),135136.0,15893100-5,Alimentaire,Appel d'offres ouvert,2023-12-07,20003978200012,,34143410800062,,GHT Coeur Grand Est,Révisable
