id,objet,famille,type_marche,type_avis,procedure,acheteur,titulaire,departement,date_parution,url_avis
26_26236,Travaux de création et d'entretien d'espaces verts et naturels,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Ville de Châtellerault (86),POITOU PAYSAGE | SVJ PAYSAGE | POITOU PAYSAGE | ETAF AUBERT | SARL Ets Serge GRAVELEAU | SMDA,86,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26236
26_26111,Prestations de nettoyage des locaux de divers sites de la Direction territoriale Haut-de-France du Cerema,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Cerema,ASEPT,69,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26111
26_26441,"ACCORD-CADRE RELATIF A L’AGREMENT DES UNITES DU SERVICE MILITAIRE ADAPTE (SMA) COMME CENTRES DE FORMATION DANS LE DOMAINE DES METIERS DE LA SECURITE PRIVEE ET, D’AUTRE PART, LA DELIVRANCE...",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,"ACCORD-CADRE RELATIF A L’AGREMENT DES UNITES DU SERVICE MILITAIRE ADAPTE (SMA) COMME CENTRES DE FORMATION DANS LE DOMAINE DES METIERS DE LA SECURITE PRIVEE ET, D’AUTRE PART, LA DELIVRANCE...",COGAN CONSULTING,75,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26441
26_26524,Fourniture et pose d'agrès de jeux et de callisthénie - Aire de loisirs René Tardy à Jarville-la-Malgrange-.,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,Métropole du Grand Nancy - Service Commande Publique,IMAJ,54,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26524
26_26538,Achat de véhicules neufs et d'occasion pour la Ville de Saintes et le Centre Communal d'Action Sociale de la Ville de Saintes,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,VILLE SAINTES,Saintonge Automobiles Distribution | Bucher Municipal SAS | Mathieu FAYAT GROUP | Maxiavenue | SCANIA FRANCE | La rochelle Poids Lourds,17,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26538
26_26599,Impression de supports de communication de Golfe du Morbihan - Vannes agglomération,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,GMVA56,IMPRIMERIE DU COMMERCE | NORD IMPRIM | IMPRIMERIE POISNEUF,56,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26599
26_26604,Marché de maîtrise d'oeuvre sur concours d'architecture et d'ingénierie sur esquisse pour la réalisation de la salle polyvalente et de spectacle de l'espace Auzon.,Marchés européens,SERVICES, | 10 | 6,Procédure NC,Ville de Carpentras,HERAULT ARNOD ARCHITECTURES | VGH COMPANY | DUCKS SCENO | ECKERSLEY O'CALLAGHAN | THERMIBEL | PUYA | ETAMINE | BMF,84,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26604
26_26630,"Accord-cadre pour la fourniture et la maintenance des extincteurs, réseau d'incendie armé (RIA), colonnes sèches, alarmes incendie et système de désenfumage en groupement de commande avec le CCAS",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Commune Nouvelle de Saint-Denis,PROTECT SECURITE | SAV PRO,93 | 94 | 95 | 75,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26630
26_26626,"Fourniture de vaisselle et ustensiles de cuisine nécessaires aux services de la Ville de Lille, des communes associées et de leur CCAS",Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,Ville de Lille,SOGEMAT SERVICE,59,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26626
26_26713,Insertion professionnelle en faveur des demandeurs d'emploi de Grand Besançon Métropole pour des prestations de remplacement temporaire des agents de collecte des déchets ménagers de la régie communau,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Grand Besançon Métropole,INTERMED,25,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26713
